retail_net_inflow,main_net_inflow,total_net_inflow,concentration,net_mf_volume,buy_sm_amount,sell_sm_amount,buy_lg_amount,sell_lg_amount,ts_code,sector
7724.190000000002,-7724.20000000007,-0.010000000067520887,772419.9947845587,10017,363076.87,355352.68,342207.28,341166.19,601398.SH,银行
261.0199999999895,-261.0100000000093,0.009999999980209395,-26101.00005165639,-216513,141182.18,140921.16,104995.90000000001,106882.15000000001,601939.SH,银行
2268.5800000000163,-2268.5899999999674,-0.009999999951105565,226859.001109211,-983596,348899.88,346631.3,240666.9,247394.68,601288.SH,银行
4852.779999999999,-4852.779999999999,0.0,0.0,232002,73470.61,68617.83,41477.46,40190.759999999995,600015.SH,银行
