retail_net_inflow,main_net_inflow,total_net_inflow,concentration,net_mf_volume,buy_sm_amount,sell_sm_amount,buy_lg_amount,sell_lg_amount,ts_code,sector
13703.819999999949,-13703.820000000065,-1.1641532182693481e-10,117714917460542.0,-320450,489636.01,475932.19000000006,488523.51,482102.36,600030.SH,券商
887.8600000000006,-887.8600000000006,0.0,0.0,1206,69547.49,68659.63,29990.55,26970.699999999997,601066.SH,券商
-5739.690000000002,5739.669999999984,-0.02000000001862645,-286983.499732725,-272301,142555.16,148294.85,100887.74999999999,92795.43,600999.SH,券商
2417.1299999999974,-2417.149999999994,-0.01999999999679858,120857.5000193455,-164551,30993.16,28576.030000000002,34692.53,35928.08,000686.SZ,券商
